UID,Vendor_Name,Part_Type,Batch_Code,Manufacturing_Date,Last_Inspection_Date,Warranty_End_Date,Status,AI_Analysis
SI25CB46900001,Wright Ltd,Elastic Rail Clip,B469,19-01-2025,08-02-2025,18-01-2030,OK,Performance nominal.
PP25PB72800002,"Wright, West and James",Rail Pad,B728,22-01-2025,03-02-2025,21-01-2030,OK,Performance nominal.
SI25LB84100003,Wright Ltd,GFN Liner,B841,27-07-2025,02-08-2025,26-07-2030,OK,Performance nominal.
PP25PB65500004,"Wright, West and James",Rail Pad,B655,04-05-2025,11-05-2025,03-05-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB22600005,Kent-Young,Rail Pad,B226,01-02-2025,10-02-2025,31-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB22900006,"Cortez, Marsh and Nelson",GFN Liner,B229,07-05-2025,26-05-2025,06-05-2030,OK,Performance nominal.
SI25LB27200007,Wright Ltd,GFN Liner,B272,08-02-2025,28-02-2025,07-02-2030,OK,Performance nominal.
PP25LB12600008,"Wright, West and James",GFN Liner,B126,26-02-2025,06-03-2025,25-02-2030,OK,Performance nominal.
RC25CB85300009,Kent-Young,Elastic Rail Clip,B853,18-03-2025,01-04-2025,17-03-2030,OK,Performance nominal.
PP25CB97300010,"Wright, West and James",Elastic Rail Clip,B973,20-01-2025,02-02-2025,19-01-2030,FLAGGED,High failure rate predicted for this batch.
TS25LB21100011,"Cortez, Marsh and Nelson",GFN Liner,B211,27-04-2025,10-05-2025,26-04-2030,OK,Performance nominal.
TS25LB35600012,"Cortez, Marsh and Nelson",GFN Liner,B356,22-05-2025,08-06-2025,21-05-2030,OK,Performance nominal.
RC25CB45000013,Kent-Young,Elastic Rail Clip,B450,23-05-2025,12-06-2025,22-05-2030,OK,Performance nominal.
RC25PB90300014,Kent-Young,Rail Pad,B903,17-04-2025,04-05-2025,16-04-2030,FLAGGED,High failure rate predicted for this batch.
SI25CB17300015,Wright Ltd,Elastic Rail Clip,B173,20-07-2025,25-07-2025,19-07-2030,OK,Performance nominal.
SI25PB64400016,Wright Ltd,Rail Pad,B644,13-01-2025,27-01-2025,12-01-2030,OK,Performance nominal.
RC25CB67100017,Kent-Young,Elastic Rail Clip,B671,18-08-2025,26-08-2025,17-08-2030,OK,Performance nominal.
PP25PB77900018,"Wright, West and James",Rail Pad,B779,06-03-2025,26-03-2025,05-03-2030,OK,Performance nominal.
SI25LB31900019,Wright Ltd,GFN Liner,B319,02-04-2025,13-04-2025,01-04-2030,OK,Performance nominal.
RC25CB84100020,Kent-Young,Elastic Rail Clip,B841,14-08-2025,27-08-2025,13-08-2030,OK,Performance nominal.
TS25PB84000021,"Cortez, Marsh and Nelson",Rail Pad,B840,10-07-2025,20-07-2025,09-07-2030,OK,Performance nominal.
PP25PB12800022,"Wright, West and James",Rail Pad,B128,24-01-2025,12-02-2025,23-01-2030,OK,Performance nominal.
SI25CB44300023,Wright Ltd,Elastic Rail Clip,B443,01-04-2025,13-04-2025,31-03-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB35600024,"Wright, West and James",GFN Liner,B356,14-03-2025,29-03-2025,13-03-2030,OK,Performance nominal.
SI25CB55600025,Wright Ltd,Elastic Rail Clip,B556,04-06-2025,11-06-2025,03-06-2030,FLAGGED,High failure rate predicted for this batch.
SI25LB68300026,Wright Ltd,GFN Liner,B683,27-07-2025,05-08-2025,26-07-2030,FLAGGED,High failure rate predicted for this batch.
RC25PB79100027,Kent-Young,Rail Pad,B791,20-03-2025,26-03-2025,19-03-2030,OK,Performance nominal.
TS25PB29000028,"Cortez, Marsh and Nelson",Rail Pad,B290,19-06-2025,30-06-2025,18-06-2030,OK,Performance nominal.
SI25CB77900029,Wright Ltd,Elastic Rail Clip,B779,24-05-2025,13-06-2025,23-05-2030,OK,Performance nominal.
RC25LB74600030,Kent-Young,GFN Liner,B746,06-04-2025,15-04-2025,05-04-2030,OK,Performance nominal.
PP25PB76600031,"Wright, West and James",Rail Pad,B766,17-02-2025,25-02-2025,16-02-2030,FLAGGED,High failure rate predicted for this batch.
PP25LB88500032,"Wright, West and James",GFN Liner,B885,19-01-2025,04-02-2025,18-01-2030,OK,Performance nominal.
PP25CB20900033,"Wright, West and James",Elastic Rail Clip,B209,01-05-2025,06-05-2025,30-04-2030,FLAGGED,High failure rate predicted for this batch.
RC25LB96700034,Kent-Young,GFN Liner,B967,01-07-2025,12-07-2025,30-06-2030,OK,Performance nominal.
TS25LB93600035,"Cortez, Marsh and Nelson",GFN Liner,B936,18-02-2025,26-02-2025,17-02-2030,OK,Performance nominal.
TS25PB44700036,"Cortez, Marsh and Nelson",Rail Pad,B447,25-03-2025,30-03-2025,24-03-2030,OK,Performance nominal.
RC25CB66300037,Kent-Young,Elastic Rail Clip,B663,04-04-2025,23-04-2025,03-04-2030,FLAGGED,High failure rate predicted for this batch.
RC25CB98500038,Kent-Young,Elastic Rail Clip,B985,25-08-2025,03-09-2025,24-08-2030,OK,Performance nominal.
PP25CB60200039,"Wright, West and James",Elastic Rail Clip,B602,03-04-2025,17-04-2025,02-04-2030,OK,Performance nominal.
TS25PB16700040,"Cortez, Marsh and Nelson",Rail Pad,B167,22-08-2025,31-08-2025,21-08-2030,OK,Performance nominal.
SI25LB35300041,Wright Ltd,GFN Liner,B353,24-02-2025,08-03-2025,23-02-2030,OK,Performance nominal.
TS25LB89400042,"Cortez, Marsh and Nelson",GFN Liner,B894,22-02-2025,06-03-2025,21-02-2030,OK,Performance nominal.
PP25LB47000043,"Wright, West and James",GFN Liner,B470,20-06-2025,25-06-2025,19-06-2030,FLAGGED,High failure rate predicted for this batch.
PP25PB59500044,"Wright, West and James",Rail Pad,B595,20-02-2025,11-03-2025,19-02-2030,FLAGGED,High failure rate predicted for this batch.
TS25CB84600045,"Cortez, Marsh and Nelson",Elastic Rail Clip,B846,10-05-2025,30-05-2025,09-05-2030,OK,Performance nominal.
PP25LB93100046,"Wright, West and James",GFN Liner,B931,24-05-2025,05-06-2025,23-05-2030,OK,Performance nominal.
TS25CB40100047,"Cortez, Marsh and Nelson",Elastic Rail Clip,B401,24-04-2025,09-05-2025,23-04-2030,OK,Performance nominal.
RC25PB11200048,Kent-Young,Rail Pad,B112,01-04-2025,19-04-2025,31-03-2030,OK,Performance nominal.
TS25LB42300049,"Cortez, Marsh and Nelson",GFN Liner,B423,17-04-2025,26-04-2025,16-04-2030,OK,Performance nominal.
RC25LB82300050,Kent-Young,GFN Liner,B823,15-08-2025,30-08-2025,14-08-2030,FLAGGED,High failure rate predicted for this batch.
